name,abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary,test,Pokedex Entry
Metapod,['Shed Skin'],1.0,1.0,1.0,1.0,1.0,0.5,2.0,2.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,1.0,1.0,20,3840,70,205,120,Cocoon Pokémon,55,1000000,0.7,50,Transelトランセル,50.0,11,25,25,30,bug,,9.9,1,0,,"Its hard shell doesn’t crack a bit even if Pikipek pecks at it, but it will tip over, spilling out its insides. Hardens its shell to protect itself. However, a large impact may cause it to pop out of its shell. It is waiting for the moment to evolve. At this stage, it can only harden, so it remains motionless to avoid attack. Even though it is encased in a sturdy shell, the body inside is tender. It can’t withstand a harsh attack."
Butterfree,"['Compoundeyes', 'Tinted Lens']",0.5,1.0,1.0,2.0,1.0,0.25,2.0,2.0,1.0,0.25,0.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,45,3840,70,395,45,Butterfly Pokémon,50,1000000,1.1,60,Butterfreeバタフリー,50.0,12,90,80,70,bug,flying,32.0,1,0,,"Nectar from pretty flowers is its favorite food. In fields of flowers, it has heated battles with Cutiefly for territory. Its wings, covered with poisonous powder, repel water. This allows it to fly in the rain. In battle, it flaps its wings at great speed to release highly toxic dust into the air. It collects honey every day. It rubs honey onto the hairs on its legs to carry it back to its nest."
Weedle,"['Shield Dust', 'Run Away']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,35,3840,70,195,255,Hairy Pokémon,30,1000000,0.3,40,Beedleビードル,50.0,13,20,20,50,bug,poison,3.2,1,0,,"Often found in forests and grasslands. It has a sharp, toxic barb of around two inches on top of its head. Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies. Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose). Beware of the sharp stinger on its head. It hides in grass and bushes where it eats leaves."
Kakuna,['Shed Skin'],0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,25,3840,70,205,120,Cocoon Pokémon,50,1000000,0.6,45,Cocoonコクーン,50.0,14,25,25,35,bug,poison,10.0,1,0,,"Almost incapable of moving, this Pokémon can only harden its shell to protect itself when it is in danger. While awaiting evolution, it hides from predators under leaves and in nooks of branches. Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch. Able to move only slightly. When endangered, it may stick out its stinger and poison its enemy."
Beedrill,"['Swarm', 'Sniper']",0.5,1.0,1.0,1.0,0.5,0.25,2.0,2.0,1.0,0.25,1.0,1.0,1.0,0.5,2.0,2.0,1.0,1.0,150,3840,70,495,45,Poison Bee Pokémon,40,1000000,1.0,65,Spearスピアー,50.0,15,15,80,145,bug,poison,29.5,1,0,,"It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly. May appear in a swarm. Flies at violent speeds, all the while stabbing with the toxic stinger on its rear. Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm. It has three poisonous stingers on its forelegs and its tail. They are used to jab its enemy repeatedly."
Pidgey,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,45,3840,70,251,255,Tiny Bird Pokémon,40,1059860,0.3,40,Poppoポッポ,50.0,16,35,35,56,normal,flying,1.8,1,0,,"A common sight in forests and woods. It flaps its wings at ground level to kick up blinding sand. It is docile and prefers to avoid conflict. If disturbed, however, it can ferociously strike back. Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings. Very docile. If attacked, it will often kick up sand to protect itself rather than fight back."
Pidgeotto,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,349,120,Bird Pokémon,55,1059860,1.1,63,Pigeonピジョン,50.0,17,50,50,71,normal,flying,30.0,1,0,,"The claws on its feet are well developed. It can carry prey such as an Exeggcute to its nest over 60 miles away. Very protective of its sprawling territorial area, this Pokémon will fiercely peck at any intruder. Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws. This Pokémon is full of vitality. It constantly flies around its large territory in search of prey."
Pidgeot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,80,3840,70,579,45,Bird Pokémon,80,1059860,1.5,83,Pigeotピジョット,50.0,18,135,80,121,normal,flying,39.5,1,0,,"When hunting, it skims the surface of water at high speed to pick off unwary prey such as Magikarp. It spreads its gorgeous wings widely to intimidate enemies. It races through the skies at Mach-2 speed. This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon. This Pokémon flies at Mach 2 speed, seeking prey. Its large talons are feared as wicked weapons."
Rattata,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,56,3840,70,253,255,Mouse Pokémon,35,1000000,,30,Korattaコラッタ,50.0,19,25,35,72,normal,dark,,1,0,,"With their strong capacity for survival, they can live in dirty places without concern. Left unchecked, their numbers multiply rapidly. Its incisors grow continuously throughout its life. If its incisors get too long, this Pokémon becomes unable to eat, and it starves to death. This Pokémon is common but hazardous. Its sharp incisors can easily cut right through hard wood. Will chew on anything with its fangs. If you see one, you can be certain that 40 more live in the area."
Raticate,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']",1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,71,3840,70,413,127,Mouse Pokémon,70,1000000,,75,Rattaラッタ,50.0,20,40,80,77,normal,dark,,1,0,,"Its disposition is far more violent than its looks would suggest. Don’t let your hand get too close to its face, as it could bite your hand clean off. People say that it fled from its enemies by using its small webbed hind feet to swim from island to island in Alola. Its whiskers are essential for maintaining its balance. No matter how friendly you are, it will get angry and bite you if you touch its whiskers. Its hind feet are webbed. They act as flippers, so it can swim in rivers and hunt for prey."
Spearow,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,60,3840,70,262,255,Tiny Bird Pokémon,30,1000000,0.3,40,Onisuzumeオニスズメ,50.0,21,31,31,70,normal,flying,2.0,1,0,,"Farmers whose fields are troubled by bug Pokémon appreciate Spearow for its vigorous appetite and look after it. Its reckless nature leads it to stand up to others—even large Pokémon—if it has to protect its territory. Due to its short wings, it can’t fly long distances. It wanders about restlessly and pecks at bug Pokémon. Inept at flying high. However, it can fly around very fast to protect its territory."
Fearow,"['Keen Eye', 'Sniper']",0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,0.5,0.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,90,3840,70,442,90,Beak Pokémon,65,1000000,1.2,65,Onidrillオニドリル,50.0,22,61,61,100,normal,flying,38.0,1,0,,"Drawings of a Pokémon resembling Fearow can be seen in murals from deep in ancient history. Carrying food through Fearow’s territory is dangerous. It will snatch the food away from you in a flash! In Alola, fish Pokémon are its prey. It can be seen circling above the ocean searching for food. A Pokémon that dates back many years. If it senses danger, it flies high and away, instantly."
Ekans,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,60,5120,70,288,255,Snake Pokémon,44,1000000,2.0,35,Arboアーボ,50.0,23,40,54,55,poison,,6.9,1,0,,"Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head. By dislocating its jaw, it can swallow prey larger than itself. After a meal, it curls up and rests. The eggs of bird Pokémon are its favorite food. It swallows eggs whole, so sometimes an egg gets stuck, and Ekans faints. The older it gets, the longer it grows. At night, it wraps its long body around tree branches to rest."
Arbok,"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,95,5120,70,448,90,Cobra Pokémon,69,1000000,3.5,60,Arbokアーボック,50.0,24,65,79,80,poison,,65.0,1,0,,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible. The latest research has determined that there are over 20 possible arrangements of the patterns on its stomach. After stunning its opponents with the pattern on its stomach, it quickly wraps them up in its body and waits for them to stop moving. The frightening patterns on its belly have been studied. Six variations have been confirmed."
Pikachu,"['Static', 'Lightningrod']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,55,2560,70,320,190,Mouse Pokémon,40,1000000,0.4,35,Pikachuピカチュウ,50.0,25,50,50,90,electric,,6.0,1,0,,"While sleeping, it generates electricity in the sacs in its cheeks. If it’s not getting enough sleep, it will be able to use only weak electricity. This forest-dwelling Pokémon stores electricity in its cheeks, so you’ll feel a tingly shock if you touch it. Pikachu that can generate powerful electricity have cheek sacs that are extra soft and super stretchy. When Pikachu meet, they’ll touch their tails together and exchange electricity through them as a form of greeting."
Raichu,"['Static', 'Lightningrod', 'Surge Surfer']",1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,85,2560,70,485,75,Mouse Pokémon,50,1000000,,60,Raichuライチュウ,50.0,26,95,85,110,electric,electric,,1,0,,"Because so many Trainers like the way Pikachu looks, you don’t see this Pokémon very often. When electricity builds up inside its body, it becomes feisty. It also glows in the dark. Its long tail serves as a ground to protect itself from its own high-voltage power. If its electric pouches run empty, it raises its tail to gather electricity from the atmosphere."
Sandshrew,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,75,5120,70,300,255,Mouse Pokémon,90,1000000,,50,Sandサンド,50.0,27,10,35,40,ground,ice,,1,0,,"When its skin gets wrinkled from moisture, it heads for a volcano. It lies flat on a spot with a lot of geothermal heat and dries itself out. Its body is dry. When it gets cold at night, its hide is said to become coated with a fine dew. It loves to bathe in the grit of dry, sandy areas. By sand bathing, the Pokémon rids itself of dirt and moisture clinging to its body. It burrows into the ground to create its nest. If hard stones impede its tunneling, it uses its sharp claws to shatter them and then carries on digging."
Sandslash,"['Sand Veil', 'Sand Rush', 'Snow Cloak', 'Slush Rush']",1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,0.5,1.0,0.5,1.0,2.0,100,5120,70,450,90,Mouse Pokémon,120,1000000,,75,Sandpanサンドパン,50.0,28,25,65,65,ground,ice,,1,0,,"Thanks to its thick claws, it’s good at climbing trees. There are plenty of Sandslash that park themselves in trees and go right to sleep. It is skilled at slashing enemies with its claws. If broken, they start to grow back in a day. The drier the area Sandslash lives in, the harder and smoother the Pokémon’s spikes will feel when touched. It climbs trees by hooking on with its sharp claws. Sandslash shares the berries it gathers, dropping them down to Sandshrew waiting below the tree."
Nidoran♀,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,47,5120,70,275,235,Poison Pin Pokémon,52,1059860,0.4,55,Nidoran?ニドラン♀,0.0,29,40,40,41,poison,,7.0,1,0,,"Nidoran♀ has barbs that secrete a powerful poison. They are thought to have developed as protection for this small-bodied Pokémon. When enraged, it releases a horrible toxin from its horn. A mild-mannered Pokémon that does not like to fight. Beware—its small horn secretes venom. Females are more sensitive to smells than males. While foraging, they’ll use their whiskers to check wind direction and stay downwind of predators. It uses its hard incisor teeth to crush and eat berries. The tip of a female Nidoran’s horn is a bit more rounded than the tip of a male’s horn."
Nidorina,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,62,5120,70,365,120,Poison Pin Pokémon,67,1059860,0.8,70,Nidorinaニドリーナ,0.0,30,55,55,56,poison,,20.0,1,0,,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others. When resting deep in its burrow, its barbs always retract. This is proof that it is relaxed. The horn on its head has atrophied. It’s thought that this happens so Nidorina’s children won’t get poked while their mother is feeding them. If the group is threatened, these Pokémon will band together to assault enemies with a chorus of ultrasonic waves."
Nidoqueen,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,92,5120,70,505,45,Drill Pokémon,87,1059860,1.3,90,Nidoqueenニドクイン,0.0,31,75,85,76,poison,ground,60.0,1,0,,"Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young. Tough scales cover the sturdy body of this Pokémon. It appears that the scales grow in cycles. Nidoqueen is better at defense than offense. With scales like armor, this Pokémon will shield its children from any kind of attack. It pacifies offspring by placing them in the gaps between the spines on its back. The spines will never secrete poison while young are present."
Nidoran♂,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,57,5120,70,273,235,Poison Pin Pokémon,40,1059860,0.5,46,Nidoran?ニドラン♂,100.0,32,40,40,50,poison,,9.0,1,0,,"Nidoran♂ has developed muscles for moving its ears. Thanks to them, the ears can be freely moved in any direction. Even the slightest sound does not escape this Pokémon’s notice. Its large ears are always kept upright. If it senses danger, it will attack with a poisonous sting. The horn on a male Nidoran’s forehead contains a powerful poison. This is a very cautious Pokémon, always straining its large ears. Small but brave, this Pokémon will hold its ground and even risk its life in battle to protect the female it’s friendly with."
Nidorino,"['Poison Point', 'Rivalry', 'Hustle']",0.5,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.0,1.0,0.5,2.0,1.0,1.0,1.0,72,5120,70,365,120,Poison Pin Pokémon,57,1059860,0.9,61,Nidorinoニドリーノ,100.0,33,55,55,65,poison,,19.5,1,0,,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might. Its horn contains venom. If it stabs an enemy with the horn, the impact makes the poison leak out. With a horn that’s harder than diamond, this Pokémon goes around shattering boulders as it searches for a moon stone. It’s nervous and quick to act aggressively. The potency of its poison increases along with the level of adrenaline present in its body."
Nidoking,"['Poison Point', 'Rivalry', 'Sheer Force']",0.5,1.0,1.0,0.0,0.5,0.5,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.25,2.0,0.5,1.0,2.0,102,5120,70,505,45,Drill Pokémon,77,1059860,1.4,81,Nidokingニドキング,100.0,34,85,75,85,poison,ground,62.0,1,0,,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it. Its steel-like hide adds to its powerful tackle. Its horns are so hard, they can pierce a diamond. When it goes on a rampage, it’s impossible to control. But in the presence of a Nidoqueen it’s lived with for a long time, Nidoking calms down. Nidoking prides itself on its strength. It’s forceful and spirited in battle, making use of its thick tail and diamond-crushing horn."
Clefairy,"['Cute Charm', 'Magic Guard', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,140,323,150,Fairy Pokémon,48,800000,0.6,70,Pippiピッピ,24.6,35,60,65,35,fairy,,7.5,1,0,,"Bathed in moonlight, its wings glow faintly. Without even flapping, Clefairy rises into the air, where it dances around. Adored for their cute looks and playfulness. They are thought to be rare, as they do not appear often. It is said that happiness will come to those who see a gathering of Clefairy dancing under a full moon. Its adorable behavior and cry make it highly popular. However, this cute Pokémon is rarely found."
Clefable,"['Cute Charm', 'Magic Guard', 'Unaware']",0.5,0.5,0.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,140,483,25,Fairy Pokémon,73,800000,1.3,95,Pixyピクシー,24.6,36,95,90,60,fairy,,40.0,1,0,,"Some scientists believe that it gazes intently at the sky on nights with a full moon because it’s homesick. They appear to be very protective of their own world. It is a kind of fairy, rarely seen by people. A timid fairy Pokémon that is rarely seen, it will run and hide the moment it senses people. Their ears are sensitive enough to hear a pin drop from over a mile away, so they’re usually found in quiet places."
Vulpix,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,41,5120,70,299,190,Fox Pokémon,40,1000000,,38,Rokonロコン,24.6,37,50,65,65,fire,ice,,1,0,,"It manipulates balls of fire to catch its prey. If you raise one from when it’s young, it will grow close to you like a puppy Pokémon. Both its fur and its tails are beautiful. As it grows, the tails split and form more tails. While young, it has six gorgeous tails. When it grows, several new tails are sprouted. As each tail grows, its fur becomes more lustrous. When held, it feels slightly warm."
Ninetales,"['Flash Fire', 'Drought', 'Snow Cloak', 'Snow Warning']",0.5,1.0,1.0,1.0,0.5,1.0,0.5,1.0,1.0,0.5,2.0,0.5,1.0,1.0,1.0,2.0,0.5,2.0,67,5120,70,505,75,Fox Pokémon,75,1000000,,73,Kyukonキュウコン,24.6,38,81,100,109,fire,ice,,1,0,,"The flickering flames it spews from its mouth leave its opponents hypnotized. Then, this extremely intelligent Pokémon attacks. According to an enduring legend, nine noble saints were united and reincarnated as this Pokémon. It is said to live 1,000 years, and each of its tails is loaded with supernatural powers. Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse."
Jigglypuff,"['Cute Charm', 'Competitive', 'Friend Guard']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,45,2560,70,270,170,Balloon Pokémon,20,800000,0.5,115,Purinプリン,24.6,39,45,25,20,normal,fairy,5.5,1,0,,"The songs they sing are totally different depending on the region they live in. Some even sound like they’re shouting! Uses its cute round eyes to enrapture its foe. It then sings a pleasing melody that lulls the foe to sleep. Jigglypuff has top-notch lung capacity, even by comparison to other Pokémon. It won’t stop singing its lullabies until its foes fall asleep. By freely changing the wavelength of its voice, Jigglypuff sings a mysterious melody sure to make any listener sleepy."
Wigglytuff,"['Cute Charm', 'Competitive', 'Frisk']",0.5,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,70,2560,70,435,50,Balloon Pokémon,45,800000,1.0,140,Pukurinプクリン,24.6,40,85,50,45,normal,fairy,12.0,1,0,,"When it gets angry, it inhales with all its might, and its body gradually inflates. Sometimes they can grow 20 times larger! Its body is very elastic. By inhaling deeply, it can continue to inflate itself without limit. The more air it takes in, the more it inflates. If opponents catch it in a bad mood, it will inflate itself to an enormous size to intimidate them. It’s proud of its fur, which is fine and delicate. In particular, the curl on its forehead has a texture that’s perfectly heavenly."
